target,Cases 1 days before,Recovered 1 days before,Deaths 1 days before,Cases 2 days before,Recovered 2 days before,Deaths 2 days before,Cases 3 days before,Recovered 3 days before,Deaths 3 days before,Cases 4 days before,Recovered 4 days before,Deaths 4 days before,Cases 5 days before,Recovered 5 days before,Deaths 5 days before,Cases 6 days before,Recovered 6 days before,Deaths 6 days before,Cases 7 days before,Recovered 7 days before,Deaths 7 days before
"[450, 267, 14]",407,271,16,396,157,9,375,122,10,440,299,15,376,109,7,359,285,9,282,215,23
"[314, 396, 30]",450,267,14,407,271,16,396,157,9,375,122,10,440,299,15,376,109,7,359,285,9
"[352, 381, 18]",314,396,30,450,267,14,407,271,16,396,157,9,375,122,10,440,299,15,376,109,7
"[309, 483, 12]",352,381,18,314,396,30,450,267,14,407,271,16,396,157,9,375,122,10,440,299,15
"[311, 502, 10]",309,483,12,352,381,18,314,396,30,450,267,14,407,271,16,396,157,9,375,122,10
"[296, 393, 3]",311,502,10,309,483,12,352,381,18,314,396,30,450,267,14,407,271,16,396,157,9
"[300, 497, 16]",296,393,3,311,502,10,309,483,12,352,381,18,314,396,30,450,267,14,407,271,16
"[294, 561, 21]",300,497,16,296,393,3,311,502,10,309,483,12,352,381,18,314,396,30,450,267,14
"[298, 520, 16]",294,561,21,300,497,16,296,393,3,311,502,10,309,483,12,352,381,18,314,396,30
"[276, 564, 17]",298,520,16,294,561,21,300,497,16,296,393,3,311,502,10,309,483,12,352,381,18
"[319, 754, 6]",276,564,17,298,520,16,294,561,21,300,497,16,296,393,3,311,502,10,309,483,12
"[193, 576, 4]",319,754,6,276,564,17,298,520,16,294,561,21,300,497,16,296,393,3,311,502,10
"[247, 349, 6]",193,576,4,319,754,6,276,564,17,298,520,16,294,561,21,300,497,16,296,393,3
"[239, 384, 19]",247,349,6,193,576,4,319,754,6,276,564,17,298,520,16,294,561,21,300,497,16
"[382, 510, 14]",239,384,19,247,349,6,193,576,4,319,754,6,276,564,17,298,520,16,294,561,21
"[371, 418, 15]",382,510,14,239,384,19,247,349,6,193,576,4,319,754,6,276,564,17,298,520,16
"[259, 442, 15]",371,418,15,382,510,14,239,384,19,247,349,6,193,576,4,319,754,6,276,564,17
"[314, 476, 5]",259,442,15,371,418,15,382,510,14,239,384,19,247,349,6,193,576,4,319,754,6
"[231, 619, 5]",314,476,5,259,442,15,371,418,15,382,510,14,239,384,19,247,349,6,193,576,4
"[205, 220, 4]",231,619,5,314,476,5,259,442,15,371,418,15,382,510,14,239,384,19,247,349,6
"[257, 272, 7]",205,220,4,231,619,5,314,476,5,259,442,15,371,418,15,382,510,14,239,384,19
"[277, 640, 14]",257,272,7,205,220,4,231,619,5,314,476,5,259,442,15,371,418,15,382,510,14
"[262, 599, 8]",277,640,14,257,272,7,205,220,4,231,619,5,314,476,5,259,442,15,371,418,15
"[265, 571, 11]",262,599,8,277,640,14,257,272,7,205,220,4,231,619,5,314,476,5,259,442,15
